strain	strain_name	date	country	segment
MT245642	A/Iowa/07/2020	2020-01-20	USA	4
MT245650	A/Iowa/09/2020	2020-01-28	USA	4
MT245658	A/Iowa/09/2020	2020-01-28	USA	4
MT245667	A/Louisiana/02/2020	2020-01-06	USA	4
MT245674	A/Louisiana/02/2020	2020-01-06	USA	4
MT245696	A/Maine/01/2020	2020-01-03	USA	4
MT245706	A/Maine/03/2020	2020-01-14	USA	4
MT245714	A/Maine/06/2020	2020-01-27	USA	4
MT245730	A/Maryland/07/2020	2020-01-13	USA	4
MT245738	A/Maryland/09/2020	2020-01-15	USA	4
MT245754	A/Massachusetts/01/2020	2020-01-06	USA	4
MT245762	A/Massachusetts/06/2020	2020-01-29	USA	4
MT245770	A/Massachusetts/07/2020	2020-01-29	USA	4
MT245794	A/Mississippi/03/2020	2020-01-07	USA	4
MT245802	A/Mississippi/03/2020	2020-01-07	USA	4
MT245810	A/Mississippi/04/2020	2020-01-10	USA	4
MT245818	A/Mississippi/04/2020	2020-01-10	USA	4
MT245825	A/Mississippi/05/2020	2020-01-14	USA	4
MT245833	A/Mississippi/05/2020	2020-01-14	USA	4
MT245848	A/Montana/05/2020	2020-01-13	USA	4
MT245857	A/Montana/05/2020	2020-01-13	USA	4
MT245862	A/Montana/06/2020	2020-01-14	USA	4
MT245873	A/Montana/06/2020	2020-01-14	USA	4
MT245881	A/Montana/07/2020	2020-01-15	USA	4
MT245889	A/Nevada/07/2020	2020-01-22	USA	4
MT245897	A/Nevada/07/2020	2020-01-22	USA	4
MT245905	A/New Jersey/03/2020	2020-01-12	USA	4
MT245915	A/New Jersey/04/2020	2020-01-12	USA	4
MT245921	A/New York/10/2020	2020-01-16	USA	4
MT245929	A/New York/11/2020	2020-01-17	USA	4
MT245941	A/New York/14/2020	2020-01-23	USA	4
MT245946	A/North Carolina/02/2020	2020-01-15	USA	4
MT245953	A/North Dakota/04/2020	2020-01-24	USA	4
MT245960	A/North Dakota/04/2020	2020-01-24	USA	4
MT245969	A/North Dakota/05/2020	2020-01-28	USA	4
MT245977	A/North Dakota/05/2020	2020-01-28	USA	4
MT245984	A/Oregon/02/2020	2020-01-01	USA	4
MT245993	A/Oregon/02/2020	2020-01-01	USA	4
MT246000	A/Pennsylvania/02/2020	2020-01-14	USA	4
MT246009	A/Pennsylvania/03/2020	2020-01-16	USA	4
MT246016	A/Pennsylvania/04/2020	2020-01-20	USA	4
MT246024	A/Rhode Island/07/2020	2020-01-10	USA	4
MT246032	A/Rhode Island/08/2020	2020-01-10	USA	4
MT246040	A/Rhode Island/10/2020	2020-01-23	USA	4
MT246048	A/Rhode Island/12/2020	2020-01-31	USA	4
MT246055	A/Rhode Island/13/2020	2020-01-31	USA	4
MT246064	A/South Carolina/03/2020	2020-01-25	USA	4
MT246072	A/Tennessee/21/2020	2020-01-28	USA	4
MT246079	A/Tennessee/21/2020	2020-01-28	USA	4
MT246087	A/Texas/17/2020	2020-01-07	USA	4
MT246095	A/Texas/23/2020	2020-01-11	USA	4
MT246113	A/Utah/04/2020	2020-01-07	USA	4
MT246119	A/Utah/04/2020	2020-01-07	USA	4
MT246159	A/Wisconsin/30/2020	2020-01-13	USA	4
MT246167	A/Wisconsin/31/2020	2020-01-14	USA	4
MT246175	A/Wisconsin/31/2020	2020-01-14	USA	4
MT246183	A/Wisconsin/33/2020	2020-01-27	USA	4
MT246191	A/Wisconsin/33/2020	2020-01-27	USA	4
MT306222	A/Delaware/04/2020	2020-01-10	USA	4
MT306230	A/Delaware/08/2020	2020-01-25	USA	4
MT306238	A/Delaware/08/2020	2020-01-25	USA	4
MT306246	A/Florida/11/2020	2020-01-17	USA	4
MT306254	A/Hawaii/04/2020	2020-01-17	USA	4
MT306262	A/Hawaii/06/2020	2020-01-25	USA	4
MT306270	A/Idaho/05/2020	2020-01-07	USA	4
MT306278	A/Idaho/06/2020	2020-01-11	USA	4
MT306287	A/Idaho/08/2020	2020-01-20	USA	4
MT306294	A/Iowa/12/2020	2020-02-04	USA	4
MT306302	A/Iowa/12/2020	2020-02-04	USA	4
MT306310	A/Iowa/13/2020	2020-02-05	USA	4
MT306318	A/Iowa/13/2020	2020-02-05	USA	4
MT306326	A/Iowa/15/2020	2020-02-11	USA	4
MT306334	A/Iowa/15/2020	2020-02-11	USA	4
MT306342	A/Louisiana/06/2020	2020-01-22	USA	4
MT306350	A/Louisiana/06/2020	2020-01-22	USA	4
MT306358	A/Louisiana/07/2020	2020-01-22	USA	4
MT306366	A/Louisiana/07/2020	2020-01-22	USA	4
MT306374	A/Maryland/09/2020	2020-01-15	USA	4
MT306384	A/Michigan/14/2020	2020-01-02	USA	4
MT306391	A/Michigan/14/2020	2020-01-02	USA	4
MT306445	A/Minnesota/04/2020	2020-01-24	USA	4
MT306453	A/Minnesota/04/2020	2020-01-24	USA	4
MT306461	A/Minnesota/05/2020	2020-01-27	USA	4
MT306469	A/Minnesota/05/2020	2020-01-27	USA	4
MT306477	A/Mississippi/09/2020	2020-01-30	USA	4
MT306485	A/Mississippi/09/2020	2020-01-30	USA	4
MT306493	A/New Jersey/04/2020	2020-01-12	USA	4
MT306501	A/New Jersey/07/2020	2020-01-27	USA	4
MT306509	A/New Jersey/07/2020	2020-01-27	USA	4
MT306517	A/New Jersey/09/2020	2020-02-02	USA	4
MT306525	A/New Jersey/09/2020	2020-02-02	USA	4
MT306533	A/New York/20/2020	2020-01-29	USA	4
MT306541	A/New York/20/2020	2020-01-29	USA	4
MT306549	A/New York/21/2020	2020-02-05	USA	4
MT306557	A/New York/21/2020	2020-02-05	USA	4
MT306563	A/Pennsylvania/03/2020	2020-01-16	USA	4
MT306573	A/Pennsylvania/04/2020	2020-01-20	USA	4
MT306581	A/Pennsylvania/09/2020	2020-02-05	USA	4
MT306589	A/Pennsylvania/09/2020	2020-02-05	USA	4
MT306600	A/Pennsylvania/10/2020	2020-02-05	USA	4
MT306607	A/Pennsylvania/10/2020	2020-02-05	USA	4
MT306613	A/Pennsylvania/11/2020	2020-02-05	USA	4
MT306621	A/South Dakota/07/2020	2020-02-16	USA	4
MT306630	A/South Dakota/07/2020	2020-02-16	USA	4
MT306645	A/Texas/30/2020	2020-02-11	USA	4
MT306653	A/Virginia/03/2020	2020-01-23	USA	4
MT306661	A/Virginia/03/2020	2020-01-23	USA	4
MT306669	A/Wisconsin/35/2020	2020-02-03	USA	4
MT306677	A/Wisconsin/35/2020	2020-02-03	USA	4
MT306687	A/Wisconsin/37/2020	2020-02-04	USA	4
MT306695	A/Wisconsin/37/2020	2020-02-04	USA	4
MT306698	A/Wisconsin/39/2020	2020-02-06	USA	4
MT306705	A/Wisconsin/39/2020	2020-02-06	USA	4
MT341916	A/Pennsylvania/16/2020	2020-02-24	USA	4
MT341923	A/Minnesota/09/2020	2020-02-09	USA	4
MT341930	A/Pennsylvania/16/2020	2020-02-24	USA	4
MT341941	A/Arizona/08/2020	2020-02-17	USA	4
MT341946	A/Arizona/08/2020	2020-02-17	USA	4
MT341954	A/California/31/2020	2020-02-04	USA	4
MT341962	A/California/31/2020	2020-02-04	USA	4
MT341968	A/California/33/2020	2020-02-08	USA	4
MT341975	A/California/33/2020	2020-02-08	USA	4
MT341985	A/California/37/2020	2020-02-11	USA	4
MT341993	A/California/37/2020	2020-02-11	USA	4
MT342002	A/Connecticut/08/2020	2020-02-02	USA	4
MT342010	A/Connecticut/08/2020	2020-02-02	USA	4
MT342018	A/Connecticut/09/2020	2020-02-03	USA	4
MT342026	A/Connecticut/09/2020	2020-02-03	USA	4
MT342033	A/Connecticut/10/2020	2020-02-11	USA	4
MT342042	A/Connecticut/13/2020	2020-02-19	USA	4
MT342050	A/Delaware/12/2020	2020-02-09	USA	4
MT342058	A/Delaware/12/2020	2020-02-09	USA	4
MT342064	A/Delaware/13/2020	2020-02-11	USA	4
MT342074	A/Delaware/13/2020	2020-02-11	USA	4
MT342083	A/Delaware/15/2020	2020-02-18	USA	4
MT342090	A/Delaware/15/2020	2020-02-18	USA	4
MT342098	A/District Of Columbia/05/2020	2020-01-19	USA	4
MT342105	A/District Of Columbia/05/2020	2020-01-19	USA	4
MT342113	A/District Of Columbia/07/2020	2020-01-25	USA	4
MT342121	A/District Of Columbia/07/2020	2020-01-25	USA	4
MT342130	A/District Of Columbia/10/2020	2020-02-10	USA	4
MT342137	A/District Of Columbia/11/2020	2020-02-16	USA	4
MT342145	A/Florida/13/2020	2020-01-22	USA	4
MT342153	A/Florida/13/2020	2020-01-22	USA	4
MT342161	A/Florida/14/2020	2020-01-27	USA	4
MT342169	A/Florida/14/2020	2020-01-27	USA	4
MT342177	A/Florida/15/2020	2020-01-28	USA	4
MT342185	A/Georgia/03/2020	2020-01-27	USA	4
MT342193	A/Georgia/03/2020	2020-01-27	USA	4
MT342201	A/Hawaii/04/2020	2020-01-17	USA	4
MT342210	A/Hawaii/06/2020	2020-01-25	USA	4
MT342216	A/Hawaii/08/2020	2020-01-30	USA	4
MT342224	A/Hawaii/08/2020	2020-01-30	USA	4
MT342232	A/Hawaii/09/2020	2020-01-30	USA	4
MT342240	A/Hawaii/09/2020	2020-01-30	USA	4
MT342253	A/Hawaii/13/2020	2020-02-06	USA	4
MT342258	A/Hawaii/13/2020	2020-02-06	USA	4
MT342264	A/Idaho/05/2020	2020-01-07	USA	4
MT342272	A/Idaho/06/2020	2020-01-11	USA	4
MT342280	A/Idaho/08/2020	2020-01-20	USA	4
MT342292	A/Idaho/12/2020	2020-01-26	USA	4
MT342298	A/Idaho/12/2020	2020-01-26	USA	4
MT342320	A/Louisiana/13/2020	2020-02-04	USA	4
MT342328	A/Maryland/11/2020	2020-01-13	USA	4
MT342336	A/Maryland/11/2020	2020-01-13	USA	4
MT342344	A/Maryland/14/2020	2020-01-26	USA	4
MT342350	A/Maryland/14/2020	2020-01-26	USA	4
MT342364	A/Maryland/15/2020	2020-01-26	USA	4
MT342368	A/Maryland/15/2020	2020-01-26	USA	4
MT342376	A/Massachusetts/09/2020	2020-02-08	USA	4
MT342384	A/Massachusetts/09/2020	2020-02-08	USA	4
MT342392	A/Massachusetts/11/2020	2020-01-24	USA	4
MT342404	A/Massachusetts/14/2020	2020-02-26	USA	4
MT342416	A/Michigan/18/2020	2020-01-27	USA	4
MT342424	A/New Jersey/12/2020	2020-02-09	USA	4
MT342435	A/New Jersey/12/2020	2020-02-09	USA	4
MT342440	A/New Jersey/13/2020	2020-02-16	USA	4
MT342448	A/New Jersey/13/2020	2020-02-16	USA	4
MT342456	A/New York/23/2020	2020-02-09	USA	4
MT342464	A/New York/23/2020	2020-02-09	USA	4
MT342472	A/New York/25/2020	2020-02-13	USA	4
MT342480	A/New York/25/2020	2020-02-13	USA	4
MT342488	A/New York/26/2020	2020-02-14	USA	4
MT342496	A/New York/26/2020	2020-02-14	USA	4
MT342510	A/Oregon/10/2020	2020-02-14	USA	4
MT342515	A/Oregon/10/2020	2020-02-14	USA	4
MT342520	A/Pennsylvania/14/2020	2020-02-19	USA	4
MT342528	A/Pennsylvania/14/2020	2020-02-19	USA	4
MT342536	A/Pennsylvania/15/2020	2020-02-20	USA	4
MT342544	A/Pennsylvania/15/2020	2020-02-20	USA	4
MT342552	A/Rhode Island/16/2020	2020-02-11	USA	4
MT342560	A/Rhode Island/16/2020	2020-02-11	USA	4
MT342570	A/Rhode Island/17/2020	2020-02-11	USA	4
MT342575	A/Rhode Island/17/2020	2020-02-11	USA	4
MT342584	A/Rhode Island/18/2020	2020-02-17	USA	4
MT342592	A/Rhode Island/18/2020	2020-02-17	USA	4
MT342600	A/Texas/30/2020	2020-02-11	USA	4
MT342609	A/Texas/32/2020	2020-02-04	USA	4
MT342613	A/Texas/32/2020	2020-02-04	USA	4
MT342626	A/Texas/37/2020	2020-02-10	USA	4
MT342634	A/Texas/37/2020	2020-02-10	USA	4
MT342640	A/Utah/12/2020	2020-02-14	USA	4
MT342648	A/Washington/15/2020	2020-01-13	USA	4
MT342656	A/Washington/15/2020	2020-01-13	USA	4
MT342661	A/Washington/17/2020	2020-01-29	USA	4
MT342674	A/Washington/17/2020	2020-01-29	USA	4
MT342682	A/Wisconsin/40/2020	2020-02-11	USA	4
MT342690	A/Wisconsin/42/2020	2020-02-18	USA	4
MT342696	A/Wisconsin/43/2020	2020-02-19	USA	4
MT375624	A/Arizona/11/2020	2020-02-24	USA	4
MT375632	A/Arizona/13/2020	2020-03-01	USA	4
MT375640	A/Hawaii/16/2020	2020-02-20	USA	4
MT375647	A/Hawaii/18/2020	2020-02-22	USA	4
MT375656	A/Hawaii/19/2020	2020-02-23	USA	4
MT422834	A/Idaho/13/2020	2020-01-31	USA	4
MT422843	A/Arizona/11/2020	2020-02-24	USA	4
MT422849	A/Arizona/13/2020	2020-03-01	USA	4
MT422857	A/Hawaii/16/2020	2020-02-20	USA	4
MT422865	A/Hawaii/18/2020	2020-02-22	USA	4
MT422873	A/Hawaii/19/2020	2020-02-23	USA	4
MT422881	A/Iowa/17/2020	2020-02-12	USA	4
MT422889	A/Iowa/18/2020	2020-02-13	USA	4
MT422897	A/Iowa/20/2020	2020-02-22	USA	4
MT422905	A/Louisiana/13/2020	2020-02-04	USA	4
MT422913	A/Michigan/18/2020	2020-01-27	USA	4
MT422921	A/Minnesota/09/2020	2020-02-09	USA	4
MT422929	A/Mississippi/11/2020	2020-02-10	USA	4
MT422937	A/Mississippi/12/2020	2020-02-11	USA	4
MT422945	A/Texas/42/2020	2020-03-06	USA	4
MT422953	A/Washington/20/2020	2020-02-19	USA	4
MT422960	A/Washington/20/2020	2020-02-19	USA	4
MT422969	A/Washington/22/2020	2020-02-27	USA	4
MT422977	A/Washington/24/2020	2020-03-02	USA	4
MT422985	A/Washington/24/2020	2020-03-02	USA	4
MT422993	A/Wisconsin/42/2020	2020-02-18	USA	4
MT423001	A/Wisconsin/43/2020	2020-02-19	USA	4
MT465967	A/Iowa/13/2020	2020-02-05	USA	4
MT465983	A/New York/21/2020	2020-02-05	USA	4
MT466963	A/California/49/2020	2020-03-05	USA	4
MT466971	A/Connecticut/10/2020	2020-02-11	USA	4
MT466979	A/Connecticut/16/2020	2020-03-01	USA	4
MT466987	A/Connecticut/16/2020	2020-03-01	USA	4
MT466995	A/Connecticut/17/2020	2020-03-02	USA	4
MT467003	A/Connecticut/17/2020	2020-03-02	USA	4
MT467011	A/District Of Columbia/10/2020	2020-02-10	USA	4
MT467019	A/District Of Columbia/11/2020	2020-02-16	USA	4
MT467027	A/Hawaii/20/2020	2020-02-25	USA	4
MT467035	A/Hawaii/21/2020	2020-02-29	USA	4
MT467043	A/Illinois/14/2020	2020-03-09	USA	4
MT467051	A/Illinois/14/2020	2020-03-09	USA	4
MT467059	A/Illinois/15/2020	2020-03-11	USA	4
MT467067	A/Illinois/15/2020	2020-03-11	USA	4
MT467072	A/Louisiana/14/2020	2020-02-04	USA	4
MT467087	A/Louisiana/15/2020	2020-02-05	USA	4
MT467091	A/Maryland/19/2020	2020-03-09	USA	4
MT467099	A/Maryland/19/2020	2020-03-09	USA	4
MT467107	A/Maryland/20/2020	2020-03-07	USA	4
MT467115	A/Maryland/20/2020	2020-03-07	USA	4
MT467123	A/Massachusetts/11/2020	2020-01-24	USA	4
MT467131	A/Massachusetts/14/2020	2020-02-26	USA	4
MT467141	A/Minnesota/16/2020	2020-02-27	USA	4
MT467147	A/Minnesota/16/2020	2020-02-27	USA	4
MT467156	A/South Dakota/12/2020	2020-03-10	USA	4
MT467164	A/Tennessee/26/2020	2020-02-27	USA	4
MT467171	A/West Virginia/07/2020	2020-02-09	USA	4
MT467179	A/West Virginia/07/2020	2020-02-09	USA	4
MT467189	A/Wisconsin/52/2020	2020-03-11	USA	4
MT467195	A/Wisconsin/52/2020	2020-03-11	USA	4
MT467205	A/Wisconsin/53/2020	2020-03-11	USA	4
MT467215	A/Wisconsin/53/2020	2020-03-11	USA	4
MT499725	A/California/49/2020	2020-03-05	USA	4
MT499738	A/California/52/2020	2020-03-09	USA	4
MT499742	A/Hawaii/20/2020	2020-02-25	USA	4
MT499750	A/Hawaii/21/2020	2020-02-29	USA	4
MT499766	A/Utah/17/2020	2020-03-07	USA	4
MT556975	A/Connecticut/18/2020	2020-03-12	USA	4
MT556983	A/Connecticut/18/2020	2020-03-12	USA	4
MT556991	A/Connecticut/21/2020	2020-03-15	USA	4
MT556999	A/Connecticut/21/2020	2020-03-15	USA	4
MT582250	A/Michigan/157/2020	2020-02-14	USA	4
MT582258	A/Michigan/157/2020	2020-02-14	USA	4
MT582266	A/Minnesota/21/2020	2020-03-07	USA	4
MT622937	A/Montana/07/2020	2020-01-15	USA	4
MT622945	A/California/16/2020	2020-01-21	USA	4
MT622953	A/California/52/2020	2020-03-09	USA	4
MT622961	A/Idaho/03/2020	2020-01-03	USA	4
MT623001	A/Minnesota/23/2020	2020-03-20	USA	4
MT623009	A/Minnesota/24/2020	2020-03-24	USA	4
MT623017	A/Texas/23/2020	2020-01-11	USA	4
MT623028	A/Utah/17/2020	2020-03-07	USA	4
MT623033	A/Washington/22/2020	2020-02-27	USA	4
MT659210	A/Illinois/08/2020	2020-02-21	USA	4
MT659218	A/Illinois/08/2020	2020-02-21	USA	4
MT659226	A/Illinois/10/2020	2020-03-03	USA	4
MT659234	A/Illinois/10/2020	2020-03-03	USA	4
MT659242	A/Iowa/17/2020	2020-02-12	USA	4
MT659250	A/Iowa/18/2020	2020-02-13	USA	4
MT659258	A/Iowa/20/2020	2020-02-22	USA	4
MT659264	A/Louisiana/14/2020	2020-02-04	USA	4
MT659274	A/Louisiana/15/2020	2020-02-05	USA	4
MT659282	A/Minnesota/12/2020	2020-02-12	USA	4
MT659290	A/Minnesota/12/2020	2020-02-12	USA	4
MT659298	A/Mississippi/11/2020	2020-02-10	USA	4
MT659306	A/Mississippi/12/2020	2020-02-11	USA	4
MT659314	A/South Dakota/12/2020	2020-03-10	USA	4
MT659322	A/Tennessee/26/2020	2020-02-27	USA	4
MT659330	A/Wisconsin/48/2020	2020-03-04	USA	4
MT659338	A/Wisconsin/48/2020	2020-03-04	USA	4
MT659346	A/Wisconsin/49/2020	2020-03-09	USA	4
MT659354	A/Wisconsin/49/2020	2020-03-09	USA	4
MT803239	A/Thailand/CU-B36536/2020	2020-02-01	Thailand	4
MT803240	A/Thailand/CU-B36023/2020	2020-01-05	Thailand	4
MT803241	A/Thailand/CU-B36542/2020	2020-02-01	Thailand	4
MT803248	A/Thailand/CU-B36095/2020	2020-01-10	Thailand	4
MT803250	A/Thailand/CU-B36392/2020	2020-01-26	Thailand	4
MT803251	A/Thailand/CU-B37010/2020	2020-03-08	Thailand	4
MT803252	A/Thailand/CU-B36805/2020	2020-02-19	Thailand	4
MT803253	A/Thailand/CU-B37058/2020	2020-03-13	Thailand	4
MT803260	A/Thailand/CU-B36553/2020	2020-02-02	Thailand	4
MT803281	A/Thailand/CU-B36847/2020	2020-02-22	Thailand	4
MT808150	A/Minnesota/23/2020	2020-03-20	USA	4
MT808158	A/Minnesota/24/2020	2020-03-24	USA	4
MT890914	A/New York/15/2020	2020-01-19	USA	4
MT890946	A/Rhode Island/06/2020	2020-01-10	USA	4
MW023840	A/Virginia/03/2020	2020-01-23	USA	4
MW024906	A/Hawaii/28/2020	2020-07-01	USA	4
MW024914	A/Hawaii/28/2020	2020-07-01	USA	4
MW464929	A/California/55/2020	2020-10-12	USA	4
MW464937	A/California/55/2020	2020-10-12	USA	4
MW600331	A/Thailand/CU-B36461/2020	2020-02-04	Thailand	4
MW713156	A/Michigan/173/2020	2020-11-19	USA	4
MW713212	A/California/55/2020	2020-10-12	USA	4
MW796047	A/Michigan/173/2020	2020-11-19	USA	4
MW796055	A/Wisconsin/02/2021	2021-01-23	USA	4
MW796063	A/Wisconsin/02/2021	2021-01-23	USA	4
MW855292	A/Human/New York City/PV08277/2020	2020-03-07	USA	4
MW855301	A/Human/New York City/PV08221/2020	2020-03-05	USA	4
MW855316	A/Human/New York City/PV07994/2020	2020-03-03	USA	4
MW855385	A/Human/New York City/PV08206/2020	2020-03-05	USA	4
MW855448	A/Human/New York City/PV11474/2020	2020-10-04	USA	4
MW855452	A/Human/New York City/PV07990/2020	2020-03-03	USA	4
MW855523	A/Human/New York City/PV08762/2020	2020-03-11	USA	4
MZ046764	A/California/55/2020	2020-10-12	USA	4
MZ556045	A/Delaware/01/2021	2021-04-16	USA	4
MZ556053	A/Delaware/01/2021	2021-04-16	USA	4
MZ556058	A/Pennsylvania/01/2021	2021-03-19	USA	4
MZ556066	A/Pennsylvania/01/2021	2021-03-19	USA	4
OK324067	A/Michigan/01/2021	2021-07-11	USA	4
OK324075	A/Michigan/01/2021	2021-07-11	USA	4
OK324083	A/Michigan/02/2021	2021-07-14	USA	4
OK324091	A/Michigan/02/2021	2021-07-14	USA	4
OK324102	A/Minnesota/02/2021	2021-06-17	USA	4
OK324110	A/New York/01/2021	2021-07-17	USA	4
OK484404	A/Texas/01/2021	2021-08-04	USA	4
OK484412	A/Texas/01/2021	2021-08-04	USA	4
OK484420	A/Texas/02/2021	2021-08-05	USA	4
OL142167	A/Bethesda/001/2021	2021-09-11	USA	4
OL423271	A/France/IHUMI_InfluenzaAH3N2_genome_60678_4/2021	2021-07-	France	4
OL693922	A/Michigan/05/2021	2021-09-26	USA	4
OL693930	A/Michigan/05/2021	2021-09-26	USA	4
OM098430	A/Sao Paulo/HIAE001/2021	2021-12-11	Brazil	4
OM405178	A/Arizona/02/2021	2021-10-21	USA	4
OM405186	A/Arizona/02/2021	2021-10-21	USA	4
OM405194	A/Arizona/03/2021	2021-10-21	USA	4
OM405202	A/Arizona/03/2021	2021-10-21	USA	4
OM405210	A/California/04/2021	2021-10-20	USA	4
OM405218	A/California/04/2021	2021-10-20	USA	4
OM405226	A/California/05/2021	2021-10-21	USA	4
OM405234	A/California/05/2021	2021-10-21	USA	4
OM405242	A/California/06/2021	2021-10-10	USA	4
OM405250	A/California/07/2021	2021-10-15	USA	4
OM405258	A/California/08/2021	2021-10-15	USA	4
OM405266	A/California/09/2021	2021-10-25	USA	4
OM405274	A/California/10/2021	2021-10-27	USA	4
OM405285	A/Delaware/01/2021	2021-04-16	USA	4
OM405290	A/Delaware/02/2021	2021-10-25	USA	4
OM405298	A/Delaware/02/2021	2021-10-25	USA	4
OM405306	A/District Of Columbia/01/2021	2021-10-20	USA	4
OM405314	A/District Of Columbia/01/2021	2021-10-20	USA	4
OM405322	A/District Of Columbia/02/2021	2021-10-26	USA	4
OM405330	A/District Of Columbia/02/2021	2021-10-26	USA	4
OM405338	A/Florida/01/2021	2021-10-20	USA	4
OM405346	A/Florida/02/2021	2021-10-20	USA	4
OM405354	A/Florida/02/2021	2021-10-20	USA	4
OM405362	A/Florida/04/2021	2021-10-28	USA	4
OM405370	A/Florida/04/2021	2021-10-28	USA	4
OM405378	A/Florida/05/2021	2021-11-01	USA	4
OM405386	A/Florida/05/2021	2021-11-01	USA	4
OM405394	A/Georgia/01/2021	2021-11-04	USA	4
OM405402	A/Georgia/02/2021	2021-11-05	USA	4
OM405410	A/Iowa/07/2021	2021-11-09	USA	4
OM405418	A/Iowa/08/2021	2021-11-10	USA	4
OM405426	A/Iowa/09/2021	2021-11-10	USA	4
OM405434	A/Maryland/05/2021	2021-10-24	USA	4
OM405442	A/Maryland/05/2021	2021-10-24	USA	4
OM405450	A/Maryland/06/2021	2021-11-07	USA	4
OM405461	A/Maryland/12222/2021	2021-09-16	USA	4
OM405469	A/Maryland/12227/2021	2021-09-22	USA	4
OM405477	A/Maryland/12232/2021	2021-09-23	USA	4
OM405485	A/Maryland/12251/2021	2021-09-29	USA	4
OM405493	A/Maryland/12262/2021	2021-09-30	USA	4
OM405501	A/Maryland/12267/2021	2021-09-30	USA	4
OM405509	A/Maryland/12303/2021	2021-10-06	USA	4
OM405517	A/Maryland/12310/2021	2021-10-06	USA	4
OM405525	A/Maryland/12311/2021	2021-10-06	USA	4
OM405533	A/Maryland/12319/2021	2021-10-07	USA	4
OM405541	A/Maryland/12345/2021	2021-10-07	USA	4
OM405546	A/Massachusetts/02/2021	2021-11-01	USA	4
OM405554	A/Massachusetts/03/2021	2021-11-03	USA	4
OM405562	A/Massachusetts/04/2021	2021-11-04	USA	4
OM405570	A/Michigan/09/2021	2021-10-06	USA	4
OM405578	A/Michigan/09/2021	2021-10-06	USA	4
